sentence,label
"The Pier 5 Hotel is excellent for a quite romantic weekend. Once you check in, you have Ruth Chris or McCormick and Schmick's right off the hotel lobby. Within walking distance is the entire Baltimore waterfront district with nightclubs for just about everyone. The only downside was parking. While parking is available next to the hotel, the cost is 22.00 per pay and if you use valet parking, it 29.00 per day. You would think for the price they charge per night for a room, parking would be included.",1
"I have never been treated more like an honored guest than during my recent stay. The property is fine but the staff is exceptional. Mail deliveries, lost keys local hints, all were managed very well, The weekend manager in particular is full of good local knowledge.",1
A stop for lunch was fine .,1
I came to know that this motel is newly renovated so I wanted to check it out. The rate was very reasonable. I found that the room was clean and comfortable (I stayed for 7 nights) and the room included a microwave and fridge. They had smoking and non smoking rooms which I was pleased with since other motels near... More,1
"my experience at this hotel was great! The hotel staff was excellent with customer service, they were very helpful.",1
"Nothing special to recommend this hotel, but it's adequate and serviceable.",1
Best stay at a hotel.,1
We arrived a bit early to town for a wedding and stopped at the hotel just to see if by chance we could get an early check-in. They were so accommodating to our party and checked us in almost two hours earlier which helped us out tremendously! I would recommend this hotel to anyone traveling through the area. Rooms were... More,1
"With the movie theater, kids babysitter facility,bowling alley, swimming pool, casino, etc this was a very nice place, only 15 minutes from the strip. kid friendly swimming pool (which also had a pretty lively weeklly adult pool party) was nice. large clean rooms accomodated 4 people easily. the st tropez buffet food was very good and moderately pricedwe would definitely stay there again. a large shopping mall and other stores are less than 5 minutes away. beatiful view of both the strip at night and the mountains from our room. we also looked out over the pool area and a golf coursethe fitness center was just that. not a bike and treadmill like some places. they had treadmills, elliptical trainers and bikes as well as several weight machinesspa on site but i didnt get to try it out unfortunatelygive it a try and i know you wont be disappointed",1
Bad: Bed wasn't awful but could have been better. Parking is a couple blocks away in a garage (I would consider this neutral - pretty much standard for Miami Beach). Good: Quaint with an art deco feel. I will definitely be back!,1
"I'm not really a big fan of this type of suite. The last thing I want to do on a vacation is cook or do dishes. But I just ignored the kitchen area and the hotel was better than fine. The rooms were spotless. The bed was very comfortable. The amenities nice (free wi-fi was dependable, that's unusual). I cannot... More",1
"Very nice hotel! The employees were all very helpful, the rooms were very comfortable and clean, and everything in the rooms, the pool, and the lobby looked clean and up to date. The rates were really good and the location is the perfect driving distance from all the restaurants and stores. This hotel definitely aided in providing us with a positive Key West experience. The only negative thing that I have to say is about the the breakfast. There was no fruit! The only thing they had fruit wise were oranges. It would have been nice if they had fruits like bananas and apples paired up with those oranges. Other than that everything else was A plus.Dear natalianieves22,Thank you for taking the time to review our Hotel and providing your feedback. We are Happy that you had a Positive Key West Experience, and enjoyed your stay with us. Also thank you for letting me know about the Fruit. We do usually have Bananas as well as cut fruit on the buffet and I will be looking into it so it doesn't happen again. We hope to see you back in Key West again very soon.Sincerely,Eric B - Hotel Manager",1
"I stayed at this hotel about a month before this stay and was not impressed. They were under construction so I decided to try it again. When I made the reservation, they made sure to tell me they were still under construction. I said I understood and all I was really looking to do was sit by the pool for... More",0
"As other reviewers have noted, this is a hotel that had it heyday in years past but for the price it is still comfortable and will give you a good nights sleep. They offer a breakfast, but I did not take advantage of it. The room was clean, but looked its age. Dark wood and curtains made it seem smaller... More",1
"This is my 3rd timing staying here, and I would and do recommend it to everyone who is coming to the Dells. They have a variety of travel packages that you can't beat. I'm going there again in September. The staff is always nice and very eager to help you with anything that you need.",1
"Great place to stay if you want to go to DC The room was very good, we had a welcome gift waiting in our room which was very nice. The staff was very helpfull and gave us at check-in unasked very usefull info about the surrounding area and ways to travel within DC. Our room was on the opposite side of the highway and onthe 2nd floor with no highway noise. The hot breakfast (eggs, waffles, grits, oatmeal, etc.) is very good and the same everyday but there is enough of a variety. The shuttle will take you anywhere within 3 miles and to the DC Metro station, all you have to do is call and they will pick you up as well. The pool is very clean and all day there's a lifeguard, the pool was a great way to cool off after walking all day around DC!",1
Worse place ever.rooms were dirty no clean linen smelly everywhere.Owners were not there to get refund.wish we did not check in.Maid did not want to clean the dirty room said not feeling good.THISPlace is a DUMP!!!,0
"This was a reasonably priced place in a great location right on the lake. Good restaurants were easily accessible and the hot tub and pool were nice. The rooms are a little funky (sort of 80s), but the bed was comfortable and we had a patio, which was lovely.nthere was some construction going on that started earlier than we would... More",1
"From check in to check out this was a great experience. The staff was amazing, friendly and informative. Room was immaculate and comfortable. Nice size and great bed. Perfect location. 5 minutes to dozens of restaurants abd shopping. 7 minutes to 75. Coffee and breakfast were great. Nice size fitness room. Staff wad always cleaning and smiling. I would definitely... More",1
"other than the leak in the lobby hallway, it was great. breakfast was well done",1
I stayed at this hotel for 2 nights. The room was small and had a smell that cannot be described. The breakfast that is included is not the greatest.,0
I stayed in this hotel with many of my family members due to a wedding we were attending nearby. Room was spacious and felt really clean. Diana at the front desk worked that weekend and was beyond accommodating. We all (about 7-8 rooms) had requested early check-ins and she worked her magic in making it happen due to the time... More,1
"Stayed at this hotel for a couple of weeks travelling on business. An excellent business hotel, rooms are spacious and well maintained. Wifi works like a charm. Breakfast is sumptuous. Pickup is provided by hotel from the nearest bus stop.",1
"Stayed on the third floor. Very quiet. Pool and pool area clean. Breakfast met our needs. Staff friendly. Beds comfortable. Some stains in carpet, but overall cleanliness was very good. Thank you Ric!",1
Our first time at this resort was in August of 2012 and we just returned on November 15 from our second visit. We had two two bedroom suites and my parents stayed in 225 the problem with this room was the endless cochroach issue They sprayed twice did a VIP cleaning and STILL cochroaches Last visit was spectacular this visit... More,1
"I was a little worried when I saw the outside of Bricktown Hotel and Convention Center however, the inside has been beautifully redone and is absolutely wonderful! We will definitely stay here again. We stayed one night for the Thunder vs. Spurs game. Bricktown Hotel and Convention Center has free shuttle to the Arena which was a plus as we had no clue upon booking this hotel.",1
"This was our second stay at ARia. We booked during a promotion which was going to give us an upgrade to a strip view. Unfortunately, we were only able to see a little part of the strip, but who could argue, a strip view it was. Check in/ check out was fast, in spite of a moderate long lineup. We... More",1
"What a great experience at this property. The valet was superb, the check-in process was so simple, and the room was pristine. Food was great and all of the amenities on the property are ample to stay and enjoy a nice getaway or close enough to everything to go explore.",1
"One of the best hotels I ever stayed at! Perfect in every way! The location is perfect - between the Old Courthouse and the Arch Plaza. 2 blocks from Busch Stadium. A free shuttle to Busch brewery only 2 blocks away. The fitness center and pool is awesome! There are 2 bikes, 3 treadmills, 1 elliptical, many weights, weight machines... More",1
